client_id,parc_id,date
193abb96-1078-4a38-880e-c77ab68c91d4,bb1c287f-b844-469b-a155-f93b9dcd9361,2023-04-15
193abb96-1078-4a38-880e-c77ab68c91d4,05fa7e8f-6106-4a9d-bca0-44a8d8d6895c,2024-05-08
193abb96-1078-4a38-880e-c77ab68c91d4,6c6bd391-2d42-4e80-aba9-42a5df242a44,2022-07-05
193abb96-1078-4a38-880e-c77ab68c91d4,fd7d8e40-3ff3-425a-a311-874a18aba3be,2023-08-06
193abb96-1078-4a38-880e-c77ab68c91d4,35f2f705-9d38-43e4-8e8c-4be556039204,2023-07-14
193abb96-1078-4a38-880e-c77ab68c91d4,fe088fde-1d1f-4410-b04b-d8fb6fb3a75c,2024-03-29
193abb96-1078-4a38-880e-c77ab68c91d4,99371bbc-fe82-4c1b-8f07-8c40a596678a,2024-05-19
193abb96-1078-4a38-880e-c77ab68c91d4,1aba64ef-af08-4570-8422-0e23b9cb6168,2023-09-23
193abb96-1078-4a38-880e-c77ab68c91d4,5d6855a7-3291-4ae7-b9eb-a1ee50257333,2023-04-09
193abb96-1078-4a38-880e-c77ab68c91d4,c2b6213e-f53f-40b1-9374-b7b085881277,2024-02-01
dd18115d-d69d-41ee-bb3b-5c228f54a873,bb1c287f-b844-469b-a155-f93b9dcd9361,2022-08-14
dd18115d-d69d-41ee-bb3b-5c228f54a873,05fa7e8f-6106-4a9d-bca0-44a8d8d6895c,2023-08-13
dd18115d-d69d-41ee-bb3b-5c228f54a873,6c6bd391-2d42-4e80-aba9-42a5df242a44,2022-09-22
dd18115d-d69d-41ee-bb3b-5c228f54a873,fd7d8e40-3ff3-425a-a311-874a18aba3be,2023-07-27
dd18115d-d69d-41ee-bb3b-5c228f54a873,35f2f705-9d38-43e4-8e8c-4be556039204,2023-12-25
dd18115d-d69d-41ee-bb3b-5c228f54a873,fe088fde-1d1f-4410-b04b-d8fb6fb3a75c,2023-05-31
dd18115d-d69d-41ee-bb3b-5c228f54a873,99371bbc-fe82-4c1b-8f07-8c40a596678a,2023-08-15
dd18115d-d69d-41ee-bb3b-5c228f54a873,1aba64ef-af08-4570-8422-0e23b9cb6168,2022-11-30
dd18115d-d69d-41ee-bb3b-5c228f54a873,5d6855a7-3291-4ae7-b9eb-a1ee50257333,2022-12-15
dd18115d-d69d-41ee-bb3b-5c228f54a873,c2b6213e-f53f-40b1-9374-b7b085881277,2023-07-19
e779ab98-277d-4889-b18e-240ef8509992,bb1c287f-b844-469b-a155-f93b9dcd9361,2023-07-03
e779ab98-277d-4889-b18e-240ef8509992,05fa7e8f-6106-4a9d-bca0-44a8d8d6895c,2023-04-23
e779ab98-277d-4889-b18e-240ef8509992,6c6bd391-2d42-4e80-aba9-42a5df242a44,2023-04-29
e779ab98-277d-4889-b18e-240ef8509992,fd7d8e40-3ff3-425a-a311-874a18aba3be,2024-05-16
e779ab98-277d-4889-b18e-240ef8509992,35f2f705-9d38-43e4-8e8c-4be556039204,2024-05-13
e779ab98-277d-4889-b18e-240ef8509992,fe088fde-1d1f-4410-b04b-d8fb6fb3a75c,2022-12-31
e779ab98-277d-4889-b18e-240ef8509992,99371bbc-fe82-4c1b-8f07-8c40a596678a,2022-10-24
e779ab98-277d-4889-b18e-240ef8509992,1aba64ef-af08-4570-8422-0e23b9cb6168,2022-08-21
e779ab98-277d-4889-b18e-240ef8509992,5d6855a7-3291-4ae7-b9eb-a1ee50257333,2024-03-31
e779ab98-277d-4889-b18e-240ef8509992,c2b6213e-f53f-40b1-9374-b7b085881277,2023-12-28
